Comment,Designator,Footprint,LCSC
350mA,F1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C116602
AP7333_33SAG_SOT23,U1,SOT-23,C150746
LED,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C2290
470,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25117
5.1k,"R2,R3",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905
DF12NB_3.0_-20DS-0.5V_51_,J1,HRS_DF12NB_3.0_-20DS-0.5V_51_,C2917815
USB_C_Receptacle_USB2.0_12402012E212A,J2,USB_C_Receptacle_Amphenol_12402012E212A,C2988369
0.1uf,C3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
SW_Push,SW1,TS-1187A-B-A-B,C318884
1uf,"C2,C4,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
10uf,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C96446
CH340E,U2,MSOP-10_3x3mm_P0.5mm,C99652
